region_id,lat,lon,city_name
48741,35.8184088,-91.4387448,"Charlotte, AR"
54631,33.4543185,-97.7656782,"Sunset, TX"
50192,36.9928696,-83.02433,"Gordon, KY"
9435,42.263947,-79.258656,"Sinclairville, NY"
48348,31.6676509,-100.7170481,"Water Valley, TX"
831606,42.3903615,-73.7815127,"Stuyvesant, NY"
45047,42.5078592,-73.5065006,"East Nassau, NY"
4567,32.3482114,-93.5526756,"Elm Grove, LA"
52289,37.0031109,-88.2344746,"Grand Rivers, KY"
54911,42.9034107,-73.5626157,"Valley Falls, NY"
45809,42.344072,-91.2482814,"Hopkinton, IA"
54802,40.847499,-73.562901,"Upper Brookville, NY"
45108,25.8553739,-80.193103,"El Portal, FL"
48929,44.336127,-75.917931,"Alexandria Bay, NY"
49686,45.6373393,-121.971193,"North Bonneville, WA"
7361,32.6776372,-84.5393664,"Talbotton, GA"
50902,29.3263467,-94.9385339,"Bayou Vista, TX"
53989,43.8922563,-70.1835179,"Pownal, ME"
50508,44.3251942,-72.9868075,"Huntington, VT"
43967,45.423856,-88.09539,"Athelstane, WI"
831609,42.8499105,-75.612325,"Eaton, NY"
51299,35.8029185,-97.6829337614,"Cashion, OK"
52188,33.0937361,-84.5738151,"Gay, GA"
55569,39.3489213,-110.8517022,"Cleveland, UT"
45745,29.5824497,-98.4908512,"Hill Country Village, TX"
5463,37.0767199,-88.9736762,"La Center, KY"
47648,43.784976,-72.454834,"Sharon, VT"
52828,37.2019399,-113.270673,"La Verkin, UT"
56759,43.6991569,-84.7678339,"Rosebush, MI"
829295,43.847008,-76.181871,"Henderson, NY"
56238,38.7083843,-90.2928914,"Pasadena Hills, MO"
4227,38.3310231,-121.568566,"Courtland, CA"
57243,38.8141381,-76.9972363,"Forest Heights, MD"
47496,39.7000958,-77.4563776,"Sabillasville, MD"
54612,24.6656987,-81.4423048,"Summerland Key, FL"
52863,44.580522,-97.209238,"Lake Norden, SD"
44307,43.63856,-71.736603,"Bridgewater, NH"
50116,36.9945248,-95.6202552,"South Coffeyville, OK"
7822,40.1050733,-80.5078472,"West Alexander, PA"
45359,30.2947689,-90.7949936,"French Settlement, LA"
50980,42.3124634,-90.8315632,"Bernard, IA"
56969,44.8171051,-73.2900913,"North Hero, VT"
47229,45.5460749,-90.2865388,"Prentice, WI"
830896,42.317558,-79.355879,"Stockton, NY"
55943,42.627311,-90.5920798,"Dickeyville, WI"
9155,39.3142827,-74.5248756,"Longport, NJ"
50136,29.9818694,-90.8317608,"Saint James, LA"
45096,39.5222207,-95.4008084,"Effingham, KS"
48717,30.7918559,-85.6796533,"Bonifay, FL"
7428,40.166738,-80.6998021,"Tiltonsville, OH"
46009,29.9691024,-98.5222441,"Kendalia, TX"
45631,41.2292165,-84.0341106,"Hamler, OH"
8865,39.5698375,-75.0476749,"Malaga, NJ"
42328,43.7073565,-73.1844929,"Hubbardton, VT"
47368,38.4001279,-77.7288804,"Richardsville, VA"
45056,35.6818059,-80.4322801,"East Spencer, NC"
46891,26.0194434,-97.5347089,"Olmito, TX"
4994,39.6959919,-122.1944294,"Greenwood, CA"
46562,41.7676556,-93.2836333,"Mingo, IA"
45881,39.9569851,-85.8052565,"Ingalls, IN"
51107,36.583207,-77.1999675,"Boykins, VA"
