,name,state,id,lat,lon
2313,Donaldsonville,LA,4387,30.1010324,-90.9928774
2314,Coeburn,VA,51470,36.9439917,-82.4640401
2318,Okatie, SC,46871,32.35214,-80.97816
2319,Manning,SC,8891,33.6952318,-80.2107811
2327,Monroeville,AL,53384,31.5279399,-87.3247077
2332,Kaplan,LA,49401,30.0031884,-92.2860146
2336,Marysville,MI,5833,42.9108647,-82.4861734
2339,Andrews,SC,50731,33.451278,-79.5608971
2341,Campobello,SC,8367,35.1158728,-82.149935
2357,Douglas,WY,49299,42.7595708,-105.382624
2360,Umatilla,FL,43301,28.9294316,-81.6656305
2362,Alva,FL,50710,26.7156236,-81.6100797
2365,Fort Meade,FL,52072,27.7522526,-81.8017491
2366,Torrington,WY,7448,42.062465,-104.184394
2368,West Point,UT,48435,41.1184964,-112.087185
2370,Dequincy,LA,44912,30.4499652,-93.4341349
2372,Imlay City,MI,5263,43.0247496,-83.0777153
2373,Liberty,KY,5623,37.3184064,-84.9393979
2376,Grosse Ile,MI,45581,42.1381749,-83.1541226559
2379,Brookeville,MD,51156,39.1803067,-77.0584474
2381,Rainbow City,AL,54046,33.9549152,-86.0414098
2383,Winnfield,LA,48544,31.925228,-92.63994
2385,De Queen,AR,9857,34.0378916,-94.3413168
2386,Ecorse,MI,45074,42.2444833,-83.145757
2388,North Logan,UT,56377,41.7693747,-111.804665
2389,Hartsville,TN,56932,36.3908826,-86.1672107
2393,Hodgenville,KY,49106,37.5737487,-85.740353
2397,Riverdale,MD,47399,39.0992765,-76.5357962
2400,Bridgewater,VA,44308,38.3820655,-78.9766975
2409,Disputanta,VA,51721,37.1243164,-77.2258062
2416,Appomattox,VA,8120,37.3586336,-78.8265053
2425,Monterey,TN,6020,36.1475642,-85.2683022
2429,Salem,UT,6902,40.0529062,-111.673659
2431,Hilliard,FL,45747,30.691068,-81.9173334
2433,Owingsville,KY,53768,38.1448015,-83.7640847
2438,Hooper,UT,52567,41.1643301,-112.123448
2443,Landrum,SC,46150,35.1751148,-82.1892007
