"indicator_id","region_id","date","value","indicator","category","region_type","region"
"ZSFH","99975","2010-03-31","296269","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98816;WA;Wenatchee, WA;Chelan;Chelan County"
"ZSFH","99976","2010-03-31","137494","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98817; WA; Wenatchee, WA; Chelan County; Chelan Falls"
"ZSFH","99977","2010-03-31","111704","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98819; WA; Okanogan County; Omak"
"ZSFH","99978","2010-03-31","181874","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98821; WA; Wenatchee, WA; Chelan County; Cashmere"
"ZSFH","99979","2010-03-31","168692","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98822;WA;Wenatchee, WA;Entiat;Chelan County"
"ZSFH","9998","2010-03-31","57653","ZHVI Single-Family Homes Time Series ($)","Home values","city","Birchleaf;VA;nan;Dickenson County"
"ZSFH","99980","2010-03-31","145531","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98823;WA;Moses Lake, WA;Ephrata;Grant County"
"ZSFH","99982","2010-03-31","289055","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98826;WA;Wenatchee, WA;Leavenworth;Chelan County"
"ZSFH","99983","2010-03-31","129445","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98827;WA;nan;Loomis;Okanogan County"
"ZSFH","99984","2010-03-31","191537","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98828;WA;Wenatchee, WA;Malaga;Chelan County"
"ZSFH","99985","2010-03-31","99675","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98829;WA;nan;Okanogan;Okanogan County"
"ZSFH","99986","2010-03-31","87574","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98830;WA;Wenatchee, WA;Bridgeport;Douglas County"
"ZSFH","99987","2010-03-31","268954","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98831;WA;Wenatchee, WA;Manson;Chelan County"
"ZSFH","99988","2010-03-31","102405","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98832; WA; Moses Lake; Grant County; Krupp"
"ZSFH","99989","2010-03-31","273393","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98833;WA;Bellingham, WA;nan;Whatcom County"
"ZSFH","9999","2010-03-31","159556","ZHVI Single-Family Homes Time Series ($)","Home values","city","Carrsville;VA;Virginia Beach-Norfolk-Newport News, VA-NC;Isle of Wight County"
"ZSFH","99990","2010-03-31","141239","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98834;WA;nan;Methow;Okanogan County"
"ZSFH","99991","2010-03-31","219765","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98836; WA; Wenatchee, WA; Chelan County; Cashmere"
"ZSFH","99992","2010-03-31","173514","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98837;WA;Moses Lake, WA;Moses Lake;Grant County"
"ZSFH","99993","2010-03-31","115299","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98840;WA;nan;Okanogan;Okanogan County"
"ZSFH","99994","2010-03-31","136286","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98841;WA;nan;Omak;Okanogan County"
"ZSFH","99995","2010-03-31","298261","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98843;WA;Wenatchee, WA;Orondo;Douglas County"
"ZSFH","99996","2010-03-31","162100","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98844;WA;nan;Oroville;Okanogan County"
"ZSFH","99997","2010-03-31","155261","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98845; WA; Wenatchee; Douglas County; Palisades"
"ZSFH","99998","2010-03-31","187124","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98846;WA;nan;Pateros;Okanogan County"
"ZSFH","99999","2010-03-31","206149","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98847;WA;Wenatchee, WA;Leavenworth;Chelan County"
"ZSFH","99959","2010-04-30","229850","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98674;WA;Longview, WA;Woodland;Clark County"
"ZSFH","99960","2010-04-30","259391","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98675;WA;Portland-Vancouver-Hillsboro, OR-WA;Yacolt;Clark County"
"ZSFH","99961","2010-04-30","206434","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98682;WA;Portland-Vancouver-Hillsboro, OR-WA;Vancouver;Clark County"
"ZSFH","99962","2010-04-30","254900","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98683;WA;Portland-Vancouver-Hillsboro, OR-WA;Vancouver;Clark County"
"ZSFH","99963","2010-04-30","210009","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98684;WA;Portland-Vancouver-Hillsboro, OR-WA;Vancouver;Clark County"
"ZSFH","99964","2010-04-30","268725","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98685;WA;Portland-Vancouver-Hillsboro, OR-WA;Vancouver;Clark County"
"ZSFH","99965","2010-04-30","267616","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98686;WA;Portland-Vancouver-Hillsboro, OR-WA;Vancouver;Clark County"
"ZSFH","99967","2010-04-30","214448","ZHVI Single-Family Homes Time Series ($)","Home values","zip","98801;WA;Wenatchee, WA;Wenatchee;Chelan County"
